Secure Endpoint Get Computers,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/computers,https://developer.cisco.com/docs/secure-endpoint/v1-api-reference-computer/,GET,Provides information about computers in your organization and also provides information about OS vulnerabilities and trajectory. Appropriate endpoints are implemented for this.,{},{},{},{},,secure_endpoint_profile,hostname,GUID
Secure Endpoint Get Event Types,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/event_types,https://developer.cisco.com/docs/secure-endpoint/v1-api-reference-event-type/,GET,Fetch List of event types and output every event types details,{},{},{},{},,secure_endpoint_profile,,
Secure Endpoint Get Events,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/events,https://developer.cisco.com/docs/secure-endpoint/v1-api-reference-event/,GET,Fetch list of events. All events or events on a computer,{},{},{},{},,secure_endpoint_profile,,
Secure Endpoint Get Isolation,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/computers/$connector_guid/isolation,https://developer.cisco.com/docs/secure-endpoint/endpoint-isolation/,GET,Show the isolation status of a computer,{},{},{},{},,secure_endpoint_profile,,
Secure Endpoint Isolate,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/computers/$connector_guid/isolation,https://developer.cisco.com/docs/secure-endpoint/endpoint-isolation/,PUT,Isolate an Endpoint,{},{},{},{},,secure_endpoint_profile,,
Secure Endpoint Stop Isolation,Secure Endpoint,https://$*username***:$*password***@api.eu.amp.cisco.com,/v1/computers/$connector_guid/isolation,https://developer.cisco.com/docs/secure-endpoint/endpoint-isolation/,DELETE,Stop isolation of an Endpoint,{},{},{},{},,secure_endpoint_profile,,
Malware Analytics Search Submission,Malware Analytics,https://server_ip_address,/api/v2/search/submissions,/no_api_documentation,GET,Search if any submission had been done for the sha256,{},{},{},q=$CSE_malicious_file_sha256&api_key=$malware_analytics_api_key,,,,
Malware Analytics Get Domains,Malware Analytics,https://server_ip_address,/api/v2/samples/feeds/domains,/no_api_documentation,GET,Search for every domains seen to be attached to the sample ( sha256 ),{},{},{},sample=$Malware_Analytics_sample_ID&after=2019-01-01&api_key=$malware_analytics_api_key,,,,
Umbrella API V2 Get Token,Umbrella,https://api.umbrella.com,/auth/v2/token,https://developer.cisco.com/docs/cloud-security/umbrella-api-api-reference-auth-token-api-token-create-authorization-token/,POST,"Look up the status, and security and content category IDs for the domain.",{},"{""Content-Type"": ""application/x-www-form-urlencoded"",""Accept"": ""application/json""}","{""grant_type"": ""client_credentials""}",,,Umbrella_V2_Profile,,
Umbrella Get Domain Status,Umbrella,https://api.umbrella.com,/domains/categorization/$domain?showLabels,https://developer.cisco.com/docs/cloud-security/umbrella-api-api-reference-investigate-investigate-api-domain-status-and-categorization-get-domain-status-and-categorization/,GET,"Look up the status, and security and content category IDs for the domain.",{},"{""Authorization"":""Bearer $umbrella_investigate_api_key""}",{},{},,,,
