victim_hostname,Automation Challenge,,name of the Victim Machine which got the Secure Endpoint Alert,,
GUID,Automation Challenge,,Secure Endpoint GUID of the initial infected machine,,
CSE_Threat_Detected_event_type_ID,Automation Challenge,,ID of the Secure Endpoint Event named Threat_Detected,,
CSE_Executed_Malware_event_type_ID,Automation Challenge,,ID of the Secure Endpoint Event named Executed_Malware,,
CSE_malicious_file_name,Automation Challenge,,Name of the malicious file,,
CSE_malicious_file_sha256,Automation Challenge,,sha256 of the malicious file,,
Malware_Analytics_sample_ID,Automation Challenge,,Sample ID in Malware Analytics of the malicious sha256,,
domain,Automation Challenge,,Malicious domains attached to the malicious sha256,,
umbrella_v2_api_token,Automation Challenge,,umbrella_v2_api_token ,,
infected_machine_list,Automation Challenge,"['ip_1','ip_2','ip_3','etc']",List of the infected machine,In python list format !,
XDR_Token,Automation Challenge,,Value of the negociated API XDR Token,,
infected_machine_internal_ip_address,Automation Challenge,,Internal IP address of the original infected machine,,
infected_machine_OS,Automation Challenge,,Operating system of the original infected machine,,
XDR_CSE_Reponse_action_title,Automation Challenge,,title of the Secure Endpoint Response action that isolate an host by hostname,,
inputs_for_cse_get_event_type_ids_api_call,Automation Challenge,"{ ""GUID"":$GUID,""event_name"":""Threat Detected""}",JSON definition for all inputs for the CSE Get Event type ID API call,,
Threat_Detected_Event_Type_ID,Automation Challenge,,Event Type ID for the Threat Detected CSE Event,,
Executed_Malware_Event_Type_ID,Automation Challenge,,Event Type ID for the Executed Malware CSE Event,,
CSE_Events,Automation Challenge,,Last Secure Endpoint Events in the JSON format,,
CSE_Event_Types_ID_list,Automation Challenge,"[""ID-1"",""ID2""]",Python list of the IDs of the event type for Threat Detected and Executed Malware,A python list,
CSE_result_of_get_computers,Automation Challenge,,The result of the Secure Endpoint Get Computer API call,JSON result store in text format,
input_for_CSE_Threat_Detected,Automation Challenge,Threat Detected,Threat Detected event name,,
input_for_CSE_Executed_Malware,Automation Challenge,Executed Malware,Executed Malware event name,,
umbrella_investigate_api_key,Automation Challenge,,Umbrella v1 API key,,
domain_status,Automation Challenge,,Status of the domain from umbrella investigate,,
nb_of_events_on_victim_machine,Automation Challenge,,Nb of security events for given event names seen on targeted machine,,
internal_infected_ip_address_2,Automation Challenge,,IP address of the second internal infected machine,,
internal_infected_ip_address_3,Automation Challenge,,IP address of the third internal infected machine,,
sha256_submission,Automation Challenge,,ID of the Submission of the sha256 to Malware Analytics,,
*event_id_list,Automation Challenge,"1107296272,1090519054",List of CSE event IDs separated by comma,,
CSE_host_events,Automation Challenge,,list of events on host,,
malware_analytics_api_key,Automation Challenge,,API Key for the Malware Analytic Server,,
Malware_Analytics_result_of_search_submission,Automation Challenge,,JSON result of the Malware Analytics Search Submission,,
CSE_client_id,Automation Challenge,defg26458064a05f1faz,Client ID of the Secure Endpoint API User,,
CSE_client_password,Automation Challenge,12345678-4f95-43d5-908d-7a7d41ad385z,Client password of the Secure Endpoint API User,,
Umbrella_client_id,Automation Challenge,,Client Id of the Umbrella API user,,
Umbrella_client_secret,Automation Challenge,,Client secret of the Umbrella API user,,
umbrella_json_result_of_api_token_request,Automation Challenge,,JSON result of the Umbrella API v2 Token Request,,
umbrella_result_of_get_dns_activity,Automation Challenge,,JSON result of the Umbrella GET DNS Activity,,
MA_result_of_get_domain,Automation Challenge,,JSON result of the Malware Analytics get domain API call,,
malicious_domain_ip,Automation Challenge,,IP address of the malicious domain,,
internal_infected_ip_address_1,Automation Challenge,,IP address of the first internal infected machine,,
temp,Automation Challenge,,temporary variable,,
XDR_client_id,Automation Challenge,,Client ID of the XDR API User,,
XDR_client_password,Automation Challenge,,Client password of the XDR API User,,
observable_payload_for_xdr_response_actions,Automation Challenge,,JSON Payload for the XDR Get response action API call,,
observable_value,Automation Challenge,192.168.128.156,Value of observable to send to XDR,,
observable_type,Automation Challenge,ip,Type of the observable to send to XDR,,
module_instance_id,Automation Challenge,,XDR Integrated module-instance-id,Identifies an integration,
action_id,Automation Challenge,,Response Action ID,,
internal_ip_1_isolation_status,Automation Challenge,NO,,,
internal_ip_2_isolation_status,Automation Challenge,NO,,,
internal_ip_3_isolation_status,Automation Challenge,NO,,,
host_ip_isolation_status,Automation Challenge,NO,,,
guid_isolation_status,Automation Challenge,NO,,,
hostname_ip_isolation_status,Automation Challenge,NO,,,
sha256_isolation_status,Automation Challenge,NO,,,
filename_isolation_status,Automation Challenge,NO,,,
malicious_domain_ip_isolation_status,Automation Challenge,NO,,,
domain_isolation_status,Automation Challenge,NO,,,
victim_hostname_isolation_status,Automation Challenge,NO,,,
JSON_FOR_VARIABLE_UPDATE,Automation Challenge,"{""observable_value"":"""",""observable_type"":""sha256""}",,,
JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_UMBRELLA,Automation Challenge,"{""module_instance_id"":"""",""action_id"":""""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_UMBRELLA,Automation Challenge,"{""observable_value"":""$domain"",""observable_type"":""domain""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_CSE,Automation Challenge,"{""observable_value"":""$CSE_malicious_file_sha256"",""observable_type"":""sha256""}",,,
JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_CSE,Automation Challenge,"{""module_instance_id"":"""",""action_id"":""""}",,,
JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_HOSTNAME,Automation Challenge,"{""module_instance_id"":"""",""action_id"":""""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_CSE_BY_HOSTNAME,Automation Challenge,"{""observable_value"":""$victim_hostname"",""observable_type"":""hostname""}",,,
API_Call_Result,Automation Challenge,,Generic Temp variable for storing result of API calls or other results,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_DOMAIN_IP,Automation Challenge,"{""observable_value"":""$malicious_domain_ip"",""observable_type"":""ip""}",,,
None,Automation Challenge,,Generic buffer,,
JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_ISE,Automation Challenge,"{""module_instance_id"":"""",""action_id"":""""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-1,Automation Challenge,"{""observable_value"":""$internal_infected_ip_address_1"",""observable_type"":""ip""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-2,Automation Challenge,"{""observable_value"":""$internal_infected_ip_address_2"",""observable_type"":""ip""}",,,
JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-3,Automation Challenge,"{""observable_value"":""$internal_infected_ip_address_3"",""observable_type"":""ip""}",,,
JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_FIREWALLs,Automation Challenge,"{""module_instance_id"":"""",""action_id"":""""}",,,
