Automation Challenge,Step 01,Get Computer List <=> Secure Endpoint Get Computers,None,CSE_result_of_get_computers,Get the full list of computers protected by Secure Endpoint
Automation Challenge,Step 04,All last events <=> Secure Endpoint Get Events,None,CSE_Events,retrieve last event from Secure Endpoint
Automation Challenge,Step 02,Parse result <=> Secure Endpoint parse result of cse_get_computers,"CSE_result_of_get_computers,victim_hostname",GUID,
Automation Challenge,Step 03,Threat Detected ID <=> Secure Endpoint parse_id_from_cse_get_event_type_api_call,input_for_CSE_Threat_Detected,CSE_Threat_Detected_event_type_ID,
Automation Challenge,Step 05,Events for Threat Detected <=> Secure Endpoint check last events in host for given event IDs,"CSE_Events,GUID,*event_id_list",CSE_host_events,
Automation Challenge,Step 06,Get SHA256 in Events <=> Secure Endpoint get_sha256_from_cse_event,CSE_host_events,CSE_malicious_file_sha256,
Automation Challenge,Step 07,Is there sha256 submission ? <=> Malware Analytics Search Submission,CSE_malicious_file_sha256,Malware_Analytics_result_of_search_submission,
Automation Challenge,Step 08,Get Sample ID <=> Malware Analytics parse result of  search submission,Malware_Analytics_result_of_search_submission,sha256_submission,
Automation Challenge,Step 09,Is there Malicious Domain ? <=> Malware Analytics Get Domains,Malware_Analytics_sample_ID,MA_result_of_get_domain,
Automation Challenge,Step 10,Domain name & IP <=> Malware Analytics parse result of Get Domains,MA_result_of_get_domain,domain,
Automation Challenge,Step 11,Ask API token <=> Umbrella API V2 Get Token,None,umbrella_json_result_of_api_token_request,
Automation Challenge,Step 13,Get Last DNS  Activities <=> Umbrella Get DNS Activity,None,umbrella_result_of_get_dns_activity,
Automation Challenge,Step 14,parse infected Internal IPs <=> Umbrella Parse Result of Get DNS Activity,"umbrella_result_of_get_dns_activity,domain",infected_machine_list,
Automation Challenge,Step 15,Ask API Token <=> XDR Asking for a token,None,API_Call_Result,
Automation Challenge,Step 16,Parse XDR Token <=> XDR Parse token from JSON Result,API_Call_Result,XDR_Token,
Automation Challenge,Step 17,Set observable value & type to the hostname <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_CSE_BY_HOSTNAME,temp,
Automation Challenge,Step 18,response actions <=> XDR Get Response Actions,,API_Call_Result,
Automation Challenge,Step 19,Set response action for hostname <=> Update variables from json inputs,JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_HOSTNAME,temp,
Automation Challenge,Step 20,isolate host by hostname <=> XDR Trigger Response Actions,None,hostname_ip_isolation_status,
Automation Challenge,Step 21,Set  observable value & type to the IP-1 <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-1,temp,
Automation Challenge,Step 22,response actions <=> XDR Get Response Actions,,API_Call_Result,
Automation Challenge,Step 23,Prepare Resonse Action <=> Update variables from json inputs,JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_ISE,None,
Automation Challenge,Step 24,isolate IP-1 <=> XDR Trigger Response Actions,None,internal_ip_1_isolation_status,
Automation Challenge,Step 25,Set observable value & type to the IP-2 <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-2,temp,
Automation Challenge,Step 26,isolate IP-2 <=> XDR Trigger Response Actions,None,internal_ip_2_isolation_status,
Automation Challenge,Step 27,Set observable value & type to the IP-3 <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_IP-3,temp,
Automation Challenge,Step 28,isolate IP-3 <=> XDR Trigger Response Actions,None,internal_ip_3_isolation_status,
Automation Challenge,Step 29,Set observable value & type to the sha256 <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_CSE,temp,
Automation Challenge,Step 30,response actions <=> XDR Get Response Actions,,API_Call_Result,
Automation Challenge,Step 31,sha256 response action <=> Update variables from json inputs,JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_SHA256,None,
Automation Challenge,Step 12,Parse Token <=> Umbrella parse token from JSON result,umbrella_json_result_of_api_token_request,umbrella_v2_api_token,
Automation Challenge,Step 32,isolate sha256 <=> XDR Trigger Response Actions,None,sha256_isolation_status,
Automation Challenge,Step 33,Set observable value & type to the domain <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_IN_UMBRELLA,temp,
Automation Challenge,Step 34,response actions <=> XDR Get Response Actions,,API_Call_Result,
Automation Challenge,Step 35,umbrella response action <=> Update variables from json inputs,JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_UMBRELLA,temp,
Automation Challenge,Step 36,block in umbrella <=> XDR Trigger Response Actions,None,domain_isolation_status,
Automation Challenge,Step 37,Set observable value & type to the IP of the domain <=> Update variables from json inputs,JSON_FOR_VARIABLE_OBJECT_TO_BLOCK_UPDATE_DOMAIN_IP,temp,
Automation Challenge,Step 38,firewalls response actions <=> XDR Get Response Actions,None,API_Call_Result,
Automation Challenge,Step 39,Firewalls response action <=> Update variables from json inputs,JSON_FOR_VARIABLE_RESPONSE_ACTION_FOR_FIREWALLs,temp,
Automation Challenge,Step 40,block in Firewalls <=> XDR Trigger Response Actions,None,malicious_domain_ip_isolation_status,
